Program,Year,Geo Level,State,Ag District,Ag District Code,County,County ANSI,Data Item,Value
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,CABARRUS,25,TURKEYS - INVENTORY,NA
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,CLEVELAND,45,TURKEYS - INVENTORY,108020.00
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,GASTON,71,TURKEYS - INVENTORY,97.00
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,LINCOLN,109,TURKEYS - INVENTORY,NA
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,MONTGOMERY,123,TURKEYS - INVENTORY,52.00
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,MOORE,125,TURKEYS - INVENTORY,32.00
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,RICHMOND,153,TURKEYS - INVENTORY,30.00
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,STANLY,167,TURKEYS - INVENTORY,333553.00
CENSUS,2012,COUNTY,NORTH CAROLINA,SOUTHERN PIEDMONT,60,UNION,179,TURKEYS - INVENTORY,1695002.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,BUNCOMBE,21,TURKEYS - INVENTORY,8.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,BURKE,23,TURKEYS - INVENTORY,8.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,CHEROKEE,39,TURKEYS - INVENTORY,NA
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,HAYWOOD,87,TURKEYS - INVENTORY,8.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,HENDERSON,89,TURKEYS - INVENTORY,41.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,JACKSON,99,TURKEYS - INVENTORY,NA
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,MADISON,115,TURKEYS - INVENTORY,787.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,MCDOWELL,111,TURKEYS - INVENTORY,NA
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,POLK,149,TURKEYS - INVENTORY,41.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,RUTHERFORD,161,TURKEYS - INVENTORY,48.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,TRANSYLVANIA,175,TURKEYS - INVENTORY,14.00
CENSUS,2012,COUNTY,NORTH CAROLINA,WESTERN MOUNTAIN,20,YANCEY,199,TURKEYS - INVENTORY,NA
