Plant ID,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Year
100,5.7,2.8,4.1,1.3,versicolor,2020
114,5.7,2.5,5,2,virginica,2017
15,5.8,4,1.2,0.2,setosa,2017
68,5.8,2.7,4.1,1,versicolor,2017
83,5.8,2.7,3.9,1.2,versicolor,2019
93,5.8,2.6,4,1.2,versicolor,2020
102,5.8,2.7,5.1,1.9,virginica,2016
115,5.8,2.8,5.1,2.4,virginica,2017
143,5.8,2.7,5.1,1.9,virginica,2020
62,5.9,3,4.2,1.5,versicolor,2017
71,5.9,3.2,4.8,1.8,versicolor,2018
150,5.9,3,5.1,1.8,virginica,2020
63,6,2.2,4,1,versicolor,2017
79,6,2.9,4.5,1.5,versicolor,2018
84,6,2.7,5.1,1.6,versicolor,2019
86,6,3.4,4.5,1.6,versicolor,2019
120,6,2.2,5,1.5,virginica,2017
139,6,3,4.8,1.8,virginica,2019
64,6.1,2.9,4.7,1.4,versicolor,2017
72,6.1,2.8,4,1.3,versicolor,2018
74,6.1,2.8,4.7,1.2,versicolor,2018
92,6.1,3,4.6,1.4,versicolor,2020
128,6.1,3,4.9,1.8,virginica,2018
135,6.1,2.6,5.6,1.4,virginica,2019
69,6.2,2.2,4.5,1.5,versicolor,2017
98,6.2,2.9,4.3,1.3,versicolor,2020
127,6.2,2.8,4.8,1.8,virginica,2018
149,6.2,3.4,5.4,2.3,virginica,2020
57,6.3,3.3,4.7,1.6,versicolor,2016
73,6.3,2.5,4.9,1.5,versicolor,2018
88,6.3,2.3,4.4,1.3,versicolor,2019
101,6.3,3.3,6,2.5,virginica,2016
104,6.3,2.9,5.6,1.8,virginica,2016
124,6.3,2.7,4.9,1.8,virginica,2018
134,6.3,2.8,5.1,1.5,virginica,2019
137,6.3,3.4,5.6,2.4,virginica,2019
147,6.3,2.5,5,1.9,virginica,2020
52,6.4,3.2,4.5,1.5,versicolor,2016
75,6.4,2.9,4.3,1.3,versicolor,2018
112,6.4,2.7,5.3,1.9,virginica,2017
116,6.4,3.2,5.3,2.3,virginica,2017
129,6.4,2.8,5.6,2.1,virginica,2018
133,6.4,2.8,5.6,2.2,virginica,2019
138,6.4,3.1,5.5,1.8,virginica,2019
55,6.5,2.8,4.6,1.5,versicolor,2016
105,6.5,3,5.8,2.2,virginica,2016
111,6.5,3.2,5.1,2,virginica,2017
117,6.5,3,5.5,1.8,virginica,2017
148,6.5,3,5.2,2,virginica,2020
59,6.6,2.9,4.6,1.3,versicolor,2016
76,6.6,3,4.4,1.4,versicolor,2018
66,6.7,3.1,4.4,1.4,versicolor,2017
78,6.7,3,5,1.7,versicolor,2018
87,6.7,3.1,4.7,1.5,versicolor,2019
109,6.7,2.5,5.8,1.8,virginica,2016
125,6.7,3.3,5.7,2.1,virginica,2018
141,6.7,3.1,5.6,2.4,virginica,2020
145,6.7,3.3,5.7,2.5,virginica,2020
146,6.7,3,5.2,2.3,virginica,2020
77,6.8,2.8,4.8,1.4,versicolor,2018
113,6.8,3,5.5,2.1,virginica,2017
144,6.8,3.2,5.9,2.3,virginica,2020
53,6.9,3.1,4.9,1.5,versicolor,2016
121,6.9,3.2,5.7,2.3,virginica,2018
140,6.9,3.1,5.4,2.1,virginica,2019
142,6.9,3.1,5.1,2.3,virginica,2020
51,7,3.2,4.7,1.4,versicolor,2016
103,7.1,3,5.9,2.1,virginica,2016
110,7.2,3.6,6.1,2.5,virginica,2016
126,7.2,3.2,6,1.8,virginica,2018
130,7.2,3,5.8,1.6,virginica,2018
108,7.3,2.9,6.3,1.8,virginica,2016
131,7.4,2.8,6.1,1.9,virginica,2019
106,7.6,3,6.6,2.1,virginica,2016
118,7.7,3.8,6.7,2.2,virginica,2017
119,7.7,2.6,6.9,2.3,virginica,2017
123,7.7,2.8,6.7,2,virginica,2018
136,7.7,3,6.1,2.3,virginica,2019
132,7.9,3.8,6.4,2,virginica,2019
